date,symbol,trade_type,entry_time,entry_price,exit_time,exit_price,pnl_percent,exit_reason
2024-02-22,EICHERMOT,buy,2024-02-22 09:55:00,3900.0,2024-02-22 10:05:00,3890.25,-0.25,Stop Loss Hit
2024-02-22,EICHERMOT,buy,2024-02-22 10:05:00,3900.0,2024-02-22 10:55:00,3890.25,-0.25,Stop Loss Hit
2024-02-22,EICHERMOT,buy,2024-02-22 10:55:00,3883.0,2024-02-22 11:00:00,3873.2925,-0.25,Stop Loss Hit
2024-02-22,EICHERMOT,buy,2024-02-22 11:15:00,3898.5,2024-02-22 13:45:00,3917.9924999999994,0.5,Target Hit
2024-02-22,EICHERMOT,buy,2024-02-22 13:45:00,3917.9,2024-02-22 14:10:00,3908.1052500000005,-0.25,Stop Loss Hit
2024-02-22,EICHERMOT,buy,2024-02-22 14:10:00,3914.3,2024-02-22 14:25:00,3933.8714999999997,0.5,Target Hit
2024-02-22,EICHERMOT,buy,2024-02-22 14:25:00,3927.9,2024-02-22 14:35:00,3918.0802500000004,-0.25,Stop Loss Hit
2024-02-22,EICHERMOT,buy,2024-02-22 14:35:00,3925.3,2024-02-22 14:55:00,3944.9264999999996,0.5,Target Hit
2024-02-22,EICHERMOT,buy,2024-02-22 14:55:00,3943.35,2024-02-22 15:15:00,3955.1,0.3,Time Exit (15:15)
2024-02-22,EICHERMOT,buy,2024-02-22 15:15:00,3955.1,2024-02-22 15:20:00,3960.7,0.14,Time Exit (15:15)
2024-02-22,EICHERMOT,buy,2024-02-22 15:20:00,3960.7,2024-02-22 15:25:00,3950.79825,-0.25,Stop Loss Hit
2024-02-23,EICHERMOT,sell,2024-02-23 09:20:00,3958.35,2024-02-23 09:30:00,3938.55825,0.5,Target Hit
2024-02-23,EICHERMOT,sell,2024-02-23 09:30:00,3937.4,2024-02-23 09:35:00,3947.2435,-0.25,Stop Loss Hit
2024-02-23,EICHERMOT,sell,2024-02-23 09:35:00,3948.35,2024-02-23 09:45:00,3958.2208749999995,-0.25,Stop Loss Hit
2024-02-23,EICHERMOT,sell,2024-02-23 09:45:00,3956.0,2024-02-23 10:15:00,3936.22,0.5,Target Hit
2024-02-23,EICHERMOT,sell,2024-02-23 10:15:00,3936.5,2024-02-23 10:30:00,3916.8175,0.5,Target Hit
2024-02-23,EICHERMOT,sell,2024-02-23 10:30:00,3919.3,2024-02-23 10:40:00,3929.09825,-0.25,Stop Loss Hit
2024-02-23,EICHERMOT,sell,2024-02-23 10:40:00,3931.0,2024-02-23 11:00:00,3940.8275,-0.25,Stop Loss Hit
2024-02-23,EICHERMOT,sell,2024-02-23 11:00:00,3944.65,2024-02-23 13:25:00,3924.92675,0.5,Target Hit
2024-02-23,EICHERMOT,sell,2024-02-23 13:25:00,3931.2,2024-02-23 15:15:00,3924.0,0.18,Time Exit (15:15)
2024-02-23,EICHERMOT,sell,2024-02-23 15:15:00,3924.0,2024-02-23 15:20:00,3928.9,-0.12,Time Exit (15:15)
2024-02-23,EICHERMOT,sell,2024-02-23 15:20:00,3928.9,2024-02-23 15:25:00,3924.2,0.12,Time Exit (15:15)
2024-02-26,EICHERMOT,buy,2024-02-26 09:25:00,3915.85,2024-02-26 09:50:00,3906.060375,-0.25,Stop Loss Hit
2024-02-26,EICHERMOT,sell,2024-02-26 09:55:00,3905.65,2024-02-26 10:30:00,3915.414125,-0.25,Stop Loss Hit
2024-02-26,EICHERMOT,buy,2024-02-26 10:45:00,3927.25,2024-02-26 11:00:00,3946.8862499999996,0.5,Target Hit
2024-02-26,EICHERMOT,buy,2024-02-26 11:00:00,3949.8,2024-02-26 11:10:00,3939.9255000000003,-0.25,Stop Loss Hit
2024-02-26,EICHERMOT,buy,2024-02-26 11:10:00,3940.25,2024-02-26 12:55:00,3959.9512499999996,0.5,Target Hit
2024-02-26,EICHERMOT,buy,2024-02-26 12:55:00,3976.8,2024-02-26 13:10:00,3966.858,-0.25,Stop Loss Hit
2024-02-26,EICHERMOT,buy,2024-02-26 13:10:00,3968.3,2024-02-26 13:30:00,3958.3792500000004,-0.25,Stop Loss Hit
2024-02-26,EICHERMOT,buy,2024-02-26 13:30:00,3956.95,2024-02-26 15:15:00,3947.057625,-0.25,Stop Loss Hit
2024-02-26,EICHERMOT,buy,2024-02-26 15:15:00,3945.7,2024-02-26 15:20:00,3948.85,0.08,Time Exit (15:15)
2024-02-26,EICHERMOT,buy,2024-02-26 15:20:00,3948.85,2024-02-26 15:25:00,3955.0,0.16,Time Exit (15:15)
2024-02-27,EICHERMOT,buy,2024-02-27 09:20:00,3988.35,2024-02-27 09:25:00,3978.379125,-0.25,Stop Loss Hit
2024-02-27,EICHERMOT,buy,2024-02-27 09:25:00,3985.85,2024-02-27 10:05:00,3975.8853750000003,-0.25,Stop Loss Hit
2024-02-27,EICHERMOT,buy,2024-02-27 10:05:00,3982.95,2024-02-27 10:15:00,3972.992625,-0.25,Stop Loss Hit
2024-02-27,EICHERMOT,buy,2024-02-27 11:00:00,3980.0,2024-02-27 11:15:00,3970.05,-0.25,Stop Loss Hit
2024-02-27,EICHERMOT,buy,2024-02-27 12:35:00,3991.0,2024-02-27 13:15:00,4010.9549999999995,0.5,Target Hit
2024-02-27,EICHERMOT,buy,2024-02-27 13:15:00,4010.95,2024-02-27 13:45:00,4000.922625,-0.25,Stop Loss Hit
2024-02-27,EICHERMOT,buy,2024-02-27 13:45:00,3998.5,2024-02-27 15:15:00,4003.0,0.11,Time Exit (15:15)
2024-02-27,EICHERMOT,buy,2024-02-27 15:15:00,4003.0,2024-02-27 15:20:00,4000.1,-0.07,Time Exit (15:15)
2024-02-27,EICHERMOT,buy,2024-02-27 15:20:00,4000.1,2024-02-27 15:25:00,4002.0,0.05,Time Exit (15:15)
2024-02-28,EICHERMOT,sell,2024-02-28 09:20:00,3991.5,2024-02-28 09:50:00,3971.5425,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 09:50:00,3973.05,2024-02-28 10:00:00,3953.1847500000003,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 10:00:00,3953.75,2024-02-28 10:05:00,3963.6343749999996,-0.25,Stop Loss Hit
2024-02-28,EICHERMOT,sell,2024-02-28 10:05:00,3975.3,2024-02-28 10:30:00,3955.4235000000003,0.5,Target Hit
2024-02-28,EICHERMOT,sell,2024-02-28 10:30:00,3956.25,2024-02-28 10:35:00,3966.140625,-0.25,Stop Loss Hit
